  Year  Month   Day  Hour  Minute  Second    foF2 (MHz)   foF2 POLAN Error (MHz)   hmF2 (km)
  2012    06    10    00     00      00         5.356            0.228               336.1
  2012    06    10    00     10      00         5.342            0.173               324.4
  2012    06    10    00     20      00         5.577            0.065               253.1
  2012    06    10    00     30      00         6.106            0.113               263.2
  2012    06    10    00     40      00         5.863            0.235               296.1
  2012    06    10    00     50      00         5.836            0.221               289.3
  2012    06    10    01     00      00         5.911            0.337               294.2
  2012    06    10    01     10      00         5.902            0.272               294.4
  2012    06    10    01     20      00         5.950            0.309               307.7
  2012    06    10    01     30      00         5.610            0.225               297.4
  2012    06    10    01     40      00         5.876            0.233               318.6
  2012    06    10    01     50      00         6.107            0.178               295.1
  2012    06    10    02     00      00         6.422            0.299               287.1
  2012    06    10    02     10      00         5.895            0.376               297.1
  2012    06    10    02     20      00         5.102            0.280               313.9
  2012    06    10    02     30      00         5.826            0.258               330.9
  2012    06    10    02     40      00         6.162            0.276               333.7
  2012    06    10    02     50      00         5.733            0.195               327.8
  2012    06    10    03     00      00         6.480            0.277               328.5
  2012    06    10    03     10      00         6.808            0.255               309.9
  2012    06    10    03     20      00         7.089            0.219               288.9
  2012    06    10    03     30      00         6.669            0.119               271.1
  2012    06    10    03     40      00         6.118            0.164               276.7
  2012    06    10    03     50      00         5.801            0.273               282.5
  2012    06    10    04     00      00         5.234            0.229               276.5
  2012    06    10    04     10      00         5.179            0.154               298.2
  2012    06    10    04     20      00         5.565            0.226               309.6
  2012    06    10    04     30      00         5.839            0.288               330.3
  2012    06    10    04     40      00         6.320            0.311               302.9
  2012    06    10    04     50      00         6.488            0.253               298.4
  2012    06    10    05     00      00         6.402            0.285               303.9
  2012    06    10    05     10      00         6.316            0.215               290.7
  2012    06    10    05     20      00         6.072            0.200               304.5
  2012    06    10    05     30      00         6.111            0.228               301.5
  2012    06    10    05     40      00         6.141            0.207               300.4
  2012    06    10    05     50      00         6.101            0.162               304.2
  2012    06    10    06     00      00         6.172            0.311               310.5
  2012    06    10    06     10      00         5.742            0.220               296.2
  2012    06    10    06     20      00         5.499            0.143               278.1
  2012    06    10    06     30      00         5.959            0.305               307.2
  2012    06    10    06     40      00         5.902            0.247               307.3
  2012    06    10    06     50      00         5.974            0.224               310.9
  2012    06    10    07     00      00       999.999           99.999              9999.9
  2012    06    10    07     10      00       999.999           99.999              9999.9
  2012    06    10    07     20      00       999.999           99.999              9999.9
  2012    06    10    07     30      00       999.999           99.999              9999.9
  2012    06    10    07     40      00       999.999           99.999              9999.9
  2012    06    10    07     50      00       999.999           99.999              9999.9
  2012    06    10    08     00      00         6.046            0.218               292.1
  2012    06    10    08     10      00         5.852            0.248               307.1
  2012    06    10    08     20      00         6.112            0.241               309.0
  2012    06    10    08     30      00         5.922            0.247               301.7
  2012    06    10    08     40      00         5.891            0.208               300.3
  2012    06    10    08     50      00         6.023            0.209               297.9
  2012    06    10    09     00      00         5.932            0.220               295.7
  2012    06    10    09     10      00         6.010            0.293               311.9
  2012    06    10    09     20      00         5.995            0.218               294.0
  2012    06    10    09     30      00         5.937            0.303               275.3
  2012    06    10    09     40      00         5.912            0.271               310.0
  2012    06    10    09     50      00         5.951            0.249               307.5
  2012    06    10    10     00      00         5.932            0.183               300.6
  2012    06    10    10     10      00         5.790            0.261               304.3
  2012    06    10    10     20      00         5.831            0.226               293.9
  2012    06    10    10     30      00         5.944            0.242               297.8
  2012    06    10    10     40      00         5.751            0.211               293.6
  2012    06    10    10     50      00         5.939            0.236               298.9
  2012    06    10    11     00      00         5.851            0.257               297.5
  2012    06    10    11     10      00         5.780            0.308               297.0
  2012    06    10    11     20      00         5.911            0.197               283.3
  2012    06    10    11     30      00         5.583            0.236               296.0
  2012    06    10    11     40      00         5.420            0.207               285.9
  2012    06    10    11     50      00         5.570            0.258               295.1
  2012    06    10    12     00      00         5.541            0.247               291.8
  2012    06    10    12     10      00         5.361            0.204               289.4
  2012    06    10    12     20      00         5.472            0.173               281.2
  2012    06    10    12     30      00         5.298            0.279               274.3
  2012    06    10    12     40      00         5.620            0.187               282.2
  2012    06    10    12     50      00         5.515            0.126               262.4
  2012    06    10    13     00      00         5.321            0.177               273.8
  2012    06    10    13     10      00         5.296            0.217               288.2
  2012    06    10    13     20      00         5.379            0.215               276.6
  2012    06    10    13     30      00         5.373            0.212               271.7
  2012    06    10    13     40      00         5.491            0.171               276.8
  2012    06    10    13     50      00         5.252            0.091               264.0
  2012    06    10    14     00      00         5.285            0.272               282.3
  2012    06    10    14     10      00         5.349            0.240               283.8
  2012    06    10    14     20      00         5.089            0.402               280.2
  2012    06    10    14     30      00         5.138            0.286               282.2
  2012    06    10    14     40      00         5.310            0.390               285.6
  2012    06    10    14     50      00         5.440            0.432               276.9
  2012    06    10    15     00      00         5.176            0.288               269.9
  2012    06    10    15     10      00       999.999           99.999              9999.9
  2012    06    10    15     20      00       999.999           99.999              9999.9
  2012    06    10    15     30      00       999.999           99.999              9999.9
  2012    06    10    15     40      00       999.999           99.999              9999.9
  2012    06    10    15     50      00       999.999           99.999              9999.9
  2012    06    10    16     00      00       999.999           99.999              9999.9
  2012    06    10    16     10      00       999.999           99.999              9999.9
  2012    06    10    16     20      00       999.999           99.999              9999.9
  2012    06    10    16     30      00       999.999           99.999              9999.9
  2012    06    10    16     40      00       999.999           99.999              9999.9
  2012    06    10    16     50      00       999.999           99.999              9999.9
  2012    06    10    17     00      00       999.999           99.999              9999.9
  2012    06    10    17     10      00       999.999           99.999              9999.9
  2012    06    10    17     20      00       999.999           99.999              9999.9
  2012    06    10    17     30      00       999.999           99.999              9999.9
  2012    06    10    17     40      00       999.999           99.999              9999.9
  2012    06    10    17     50      00       999.999           99.999              9999.9
  2012    06    10    18     00      00       999.999           99.999              9999.9
  2012    06    10    18     10      00       999.999           99.999              9999.9
  2012    06    10    18     20      00       999.999           99.999              9999.9
  2012    06    10    18     30      00       999.999           99.999              9999.9
  2012    06    10    18     40      00       999.999           99.999              9999.9
  2012    06    10    18     50      00       999.999           99.999              9999.9
  2012    06    10    19     00      00       999.999           99.999              9999.9
  2012    06    10    19     10      00       999.999           99.999              9999.9
  2012    06    10    19     20      00       999.999           99.999              9999.9
  2012    06    10    19     30      00       999.999           99.999              9999.9
  2012    06    10    19     40      00       999.999           99.999              9999.9
  2012    06    10    19     50      00       999.999           99.999              9999.9
  2012    06    10    20     00      00       999.999           99.999              9999.9
  2012    06    10    20     10      00       999.999           99.999              9999.9
  2012    06    10    20     20      00       999.999           99.999              9999.9
  2012    06    10    20     30      00       999.999           99.999              9999.9
  2012    06    10    20     40      00       999.999           99.999              9999.9
  2012    06    10    20     50      00         5.551            0.294               295.0
  2012    06    10    21     00      00       999.999           99.999              9999.9
  2012    06    10    21     10      00       999.999           99.999              9999.9
  2012    06    10    21     20      00       999.999           99.999              9999.9
  2012    06    10    21     30      00       999.999           99.999              9999.9
  2012    06    10    21     40      00       999.999           99.999              9999.9
  2012    06    10    21     50      00       999.999           99.999              9999.9
  2012    06    10    22     00      00       999.999           99.999              9999.9
  2012    06    10    22     10      00       999.999           99.999              9999.9
  2012    06    10    22     20      00       999.999           99.999              9999.9
  2012    06    10    22     30      00       999.999           99.999              9999.9
  2012    06    10    22     40      00       999.999           99.999              9999.9
  2012    06    10    22     50      00       999.999           99.999              9999.9
  2012    06    10    23     00      00         6.121            0.216               289.7
  2012    06    10    23     10      00         6.193            0.253               286.6
  2012    06    10    23     20      00         6.102            0.164               274.9
  2012    06    10    23     30      00         6.063            0.186               270.5
  2012    06    10    23     40      00         6.151            0.280               284.3
  2012    06    10    23     50      00         6.182            0.395               294.6
  2012    06    11    00     00      00         6.499            0.279               311.0
  2012    06    11    00     10      00         6.232            0.249               321.5
  2012    06    11    00     20      00         6.594            0.246               322.6
  2012    06    11    00     30      00         6.285            0.197               311.1
  2012    06    11    00     40      00         6.276            0.222               302.3
  2012    06    11    00     50      00         6.344            0.252               311.4
  2012    06    11    01     00      00       999.999           99.999              9999.9
  2012    06    11    01     10      00       999.999           99.999              9999.9
  2012    06    11    01     20      00       999.999           99.999              9999.9
  2012    06    11    01     30      00       999.999           99.999              9999.9
  2012    06    11    01     40      00       999.999           99.999              9999.9
  2012    06    11    01     50      00       999.999           99.999              9999.9
  2012    06    11    02     00      00         6.354            0.194               250.3
  2012    06    11    02     10      00         5.754            0.212               273.7
  2012    06    11    02     20      00         6.202            0.245               299.5
  2012    06    11    02     30      00         6.342            0.153               289.3
  2012    06    11    02     40      00         6.555            0.252               296.0
  2012    06    11    02     50      00         6.611            0.164               306.5
  2012    06    11    03     00      00       999.999           99.999              9999.9
  2012    06    11    03     10      00       999.999           99.999              9999.9
  2012    06    11    03     20      00       999.999           99.999              9999.9
  2012    06    11    03     30      00       999.999           99.999              9999.9
  2012    06    11    03     40      00       999.999           99.999              9999.9
  2012    06    11    03     50      00       999.999           99.999              9999.9
  2012    06    11    04     00      00         6.057            0.146               304.7
  2012    06    11    04     10      00         6.902            0.205               299.1
  2012    06    11    04     20      00         6.056            0.179               286.2
  2012    06    11    04     30      00         6.128            0.120               274.2
  2012    06    11    04     40      00         5.305            0.117               278.0
  2012    06    11    04     50      00         5.616            0.157               307.5
  2012    06    11    05     00      00         5.527            0.148               302.8
  2012    06    11    05     10      00         5.451            0.184               291.8
  2012    06    11    05     20      00         5.825            0.257               310.3
  2012    06    11    05     30      00         5.880            0.299               306.9
  2012    06    11    05     40      00         5.971            0.202               298.4
  2012    06    11    05     50      00         6.206            0.249               297.2
  2012    06    11    06     00      00         6.060            0.208               252.0
  2012    06    11    06     10      00         6.014            0.183               239.0
  2012    06    11    06     20      00         6.309            0.205               237.8
  2012    06    11    06     30      00         6.085            0.181               239.2
  2012    06    11    06     40      00         5.067            0.193               292.8
  2012    06    11    06     50      00         5.322            0.248               307.1
  2012    06    11    07     00      00         5.125            0.194               301.9
  2012    06    11    07     10      00         5.580            0.212               333.1
  2012    06    11    07     20      00         5.760            0.169               319.2
  2012    06    11    07     30      00         6.360            0.208               318.9
  2012    06    11    07     40      00         6.379            0.115               270.1
  2012    06    11    07     50      00         6.182            0.297               276.7
  2012    06    11    08     00      00         6.509            0.286               282.7
  2012    06    11    08     10      00         6.402            0.207               279.2
  2012    06    11    08     20      00         6.241            0.273               317.4
  2012    06    11    08     30      00         6.333            0.159               334.4
  2012    06    11    08     40      00         6.207            0.117               313.3
  2012    06    11    08     50      00         6.462            0.268               310.5
  2012    06    11    09     00      00         6.015            0.191               317.7
  2012    06    11    09     10      00         6.232            0.190               320.4
  2012    06    11    09     20      00         6.338            0.312               325.3
  2012    06    11    09     30      00         6.174            0.276               318.0
  2012    06    11    09     40      00         5.652            0.262               304.5
  2012    06    11    09     50      00         5.733            0.187               306.8
  2012    06    11    10     00      00       999.999           99.999              9999.9
  2012    06    11    10     10      00       999.999           99.999              9999.9
  2012    06    11    10     20      00       999.999           99.999              9999.9
  2012    06    11    10     30      00       999.999           99.999              9999.9
  2012    06    11    10     40      00       999.999           99.999              9999.9
  2012    06    11    10     50      00       999.999           99.999              9999.9
  2012    06    11    11     00      00       999.999           99.999              9999.9
  2012    06    11    11     10      00       999.999           99.999              9999.9
  2012    06    11    11     20      00         4.940            0.226               305.8
  2012    06    11    11     30      00         5.197            0.269               304.8
  2012    06    11    11     40      00         5.223            0.189               264.7
  2012    06    11    11     50      00         5.346            0.248               282.5
  2012    06    11    12     00      00         5.399            0.181               293.3
  2012    06    11    12     10      00         5.026            0.255               296.5
  2012    06    11    12     20      00         5.159            0.239               301.2
  2012    06    11    12     30      00         5.140            0.156               281.4
  2012    06    11    12     40      00         5.077            0.276               281.0
  2012    06    11    12     50      00         5.040            0.210               278.9
  2012    06    11    13     00      00       999.999           99.999              9999.9
  2012    06    11    13     10      00       999.999           99.999              9999.9
  2012    06    11    13     20      00       999.999           99.999              9999.9
  2012    06    11    13     30      00       999.999           99.999              9999.9
  2012    06    11    13     40      00       999.999           99.999              9999.9
  2012    06    11    13     50      00       999.999           99.999              9999.9
  2012    06    11    14     00      00       999.999           99.999              9999.9
  2012    06    11    14     10      00       999.999           99.999              9999.9
  2012    06    11    14     20      00       999.999           99.999              9999.9
  2012    06    11    14     30      00       999.999           99.999              9999.9
  2012    06    11    14     40      00       999.999           99.999              9999.9
  2012    06    11    14     50      00       999.999           99.999              9999.9
  2012    06    11    15     00      00       999.999           99.999              9999.9
  2012    06    11    15     10      00       999.999           99.999              9999.9
  2012    06    11    15     20      00       999.999           99.999              9999.9
