  Year  Month   Day  Hour  Minute  Second    foF2 (MHz)   foF2 POLAN Error (MHz)   hmF2 (km)
  2011    11    10    00     00      00         7.303            0.251               307.9
  2011    11    10    00     10      00         7.313            0.276               317.6
  2011    11    10    00     20      00         6.975            0.190               305.5
  2011    11    10    00     30      00         6.862            0.162               285.6
  2011    11    10    00     40      00         8.062            0.253               296.3
  2011    11    10    00     50      00         8.122            0.133               285.9
  2011    11    10    01     00      00         7.921            0.237               270.4
  2011    11    10    01     10      00         7.252            0.278               284.7
  2011    11    10    01     20      00         6.795            0.211               294.6
  2011    11    10    01     30      00         5.341            0.230               293.9
  2011    11    10    01     40      00         5.782            0.187               307.6
  2011    11    10    01     50      00         6.344            0.182               288.8
  2011    11    10    02     00      00         6.002            0.262               292.2
  2011    11    10    02     10      00         5.201            0.185               278.2
  2011    11    10    02     20      00         5.976            0.091               298.2
  2011    11    10    02     30      00         6.011            0.246               303.7
  2011    11    10    02     40      00         5.640            0.258               297.2
  2011    11    10    02     50      00         5.206            0.111               282.1
  2011    11    10    03     00      00         5.189            0.176               308.5
  2011    11    10    03     10      00         4.751            0.478               338.7
  2011    11    10    03     20      00         4.429            0.170               318.4
  2011    11    10    03     30      00         3.985            0.343               317.2
  2011    11    10    03     40      00         4.377            0.188               323.8
  2011    11    10    03     50      00         4.488            0.251               317.1
  2011    11    10    04     00      00         4.396            0.196               313.7
  2011    11    10    04     10      00         4.248            0.042               294.6
  2011    11    10    04     20      00         4.236            0.189               311.3
  2011    11    10    04     30      00         4.467            0.281               334.2
  2011    11    10    04     40      00         3.755            0.145               301.3
  2011    11    10    04     50      00         3.735            0.141               313.6
  2011    11    10    05     00      00         3.267            0.095               304.8
  2011    11    10    05     10      00         3.656            0.160               323.2
  2011    11    10    05     20      00         3.692            0.118               305.6
  2011    11    10    05     30      00         3.587            0.132               308.8
  2011    11    10    05     40      00         4.056            0.058               305.4
  2011    11    10    05     50      00         4.215            0.128               311.8
  2011    11    10    06     00      00         4.267            0.211               318.0
