  Year  Month   Day  Hour  Minute  Second    foF2 (MHz)   foF2 POLAN Error (MHz)   hmF2 (km)
  2009    08    21    00     00      00         3.754            0.119               260.1
  2009    08    21    00     05      00         4.003            0.235               279.0
  2009    08    21    00     10      00         4.008            0.175               278.3
  2009    08    21    00     15      00         3.803            0.127               253.1
  2009    08    21    00     20      00         3.606            0.128               260.4
  2009    08    21    00     25      00         3.529            0.190               254.8
  2009    08    21    00     30      00         4.006            0.153               265.0
  2009    08    21    00     35      00         3.958            0.251               263.1
  2009    08    21    00     40      00         4.058            0.109               270.1
  2009    08    21    00     45      00         4.235            0.149               271.2
  2009    08    21    00     50      00         4.361            0.456               268.1
  2009    08    21    00     55      00       999.999           99.999              9999.9
  2009    08    21    01     00      00       999.999           99.999              9999.9
  2009    08    21    01     05      00       999.999           99.999              9999.9
  2009    08    21    01     10      00       999.999           99.999              9999.9
  2009    08    21    01     15      00       999.999           99.999              9999.9
  2009    08    21    01     20      00       999.999           99.999              9999.9
  2009    08    21    01     25      00       999.999           99.999              9999.9
  2009    08    21    01     30      00       999.999           99.999              9999.9
  2009    08    21    01     35      00       999.999           99.999              9999.9
  2009    08    21    01     40      00       999.999           99.999              9999.9
  2009    08    21    01     45      00       999.999           99.999              9999.9
  2009    08    21    01     50      00       999.999           99.999              9999.9
  2009    08    21    01     55      00         4.022            0.104               296.8
  2009    08    21    02     00      00       999.999           99.999              9999.9
  2009    08    21    02     05      00       999.999           99.999              9999.9
  2009    08    21    02     10      00       999.999           99.999              9999.9
  2009    08    21    02     15      00       999.999           99.999              9999.9
  2009    08    21    02     20      00       999.999           99.999              9999.9
  2009    08    21    02     25      00       999.999           99.999              9999.9
  2009    08    21    02     30      00       999.999           99.999              9999.9
  2009    08    21    02     35      00       999.999           99.999              9999.9
  2009    08    21    02     40      00       999.999           99.999              9999.9
  2009    08    21    02     45      00       999.999           99.999              9999.9
  2009    08    21    02     50      00       999.999           99.999              9999.9
  2009    08    21    02     55      00       999.999           99.999              9999.9
  2009    08    21    03     00      00         3.674            0.042               261.2
  2009    08    21    03     05      00         4.045            0.298               282.4
  2009    08    21    03     10      00         4.122            0.213               279.0
  2009    08    21    03     15      00         4.432            0.264               288.0
  2009    08    21    03     20      00         3.783            0.258               276.3
  2009    08    21    03     25      00         3.831            0.250               270.9
  2009    08    21    03     30      00         4.077            0.380               297.1
  2009    08    21    03     35      00         3.953            0.077               265.0
  2009    08    21    03     40      00         4.027            0.241               284.1
  2009    08    21    03     45      00         3.830            0.165               262.4
  2009    08    21    03     50      00         3.921            0.179               258.8
  2009    08    21    03     55      00         4.531            0.436               309.4
  2009    08    21    04     00      00         4.171            0.242               257.1
  2009    08    21    04     05      00         3.485            0.339               248.0
  2009    08    21    04     10      00         3.642            0.361               251.4
  2009    08    21    04     15      00         3.340            0.322               241.6
  2009    08    21    04     20      00         3.482            0.223               240.6
  2009    08    21    04     25      00         3.805            0.176               249.4
  2009    08    21    04     30      00         3.430            0.211               243.0
  2009    08    21    04     35      00         3.398            0.075               240.8
  2009    08    21    04     40      00         3.412            0.163               237.4
  2009    08    21    04     45      00         3.240            0.097               248.6
  2009    08    21    04     50      00         3.245            0.033               241.3
  2009    08    21    04     55      00         3.083            0.095               239.4
  2009    08    21    05     00      00         3.321            0.116               285.8
  2009    08    21    05     05      00         3.313            0.140               292.1
  2009    08    21    05     10      00         3.217            0.114               283.1
  2009    08    21    05     15      00         3.268            0.203               294.3
  2009    08    21    05     20      00         3.165            0.015               264.1
  2009    08    21    05     25      00         2.963            0.099               267.1
  2009    08    21    05     30      00         3.421            0.178               293.9
  2009    08    21    05     35      00         3.167            0.144               280.6
  2009    08    21    05     40      00         3.017            0.140               273.5
  2009    08    21    05     45      00         3.219            0.241               305.9
  2009    08    21    05     50      00         3.081            0.139               274.2
  2009    08    21    05     55      00         3.211            0.174               270.2
  2009    08    21    06     00      00       999.999           99.999              9999.9
  2009    08    21    06     05      00       999.999           99.999              9999.9
  2009    08    21    06     10      00       999.999           99.999              9999.9
  2009    08    21    06     15      00       999.999           99.999              9999.9
  2009    08    21    06     20      00       999.999           99.999              9999.9
  2009    08    21    06     25      00       999.999           99.999              9999.9
  2009    08    21    06     30      00       999.999           99.999              9999.9
  2009    08    21    06     35      00         2.764            0.099               287.8
  2009    08    21    06     40      00         2.715            0.104               260.6
  2009    08    21    06     45      00         2.985            0.080               271.1
  2009    08    21    06     50      00         2.912            0.129               284.1
  2009    08    21    06     55      00         2.867            0.176               274.0
  2009    08    21    07     00      00       999.999           99.999              9999.9
  2009    08    21    07     05      00       999.999           99.999              9999.9
  2009    08    21    07     10      00       999.999           99.999              9999.9
  2009    08    21    07     15      00         2.724            0.069               282.6
  2009    08    21    07     20      00       999.999           99.999              9999.9
  2009    08    21    07     25      00       999.999           99.999              9999.9
  2009    08    21    07     30      00       999.999           99.999              9999.9
  2009    08    21    07     35      00         2.897            0.054               273.7
  2009    08    21    07     40      00       999.999           99.999              9999.9
  2009    08    21    07     45      00       999.999           99.999              9999.9
  2009    08    21    07     50      00       999.999           99.999              9999.9
  2009    08    21    07     55      00         3.168            0.050               284.0
  2009    08    21    08     00      00       999.999           99.999              9999.9
  2009    08    21    08     05      00       999.999           99.999              9999.9
  2009    08    21    08     10      00       999.999           99.999              9999.9
  2009    08    21    08     15      00       999.999           99.999              9999.9
  2009    08    21    08     20      00       999.999           99.999              9999.9
  2009    08    21    08     25      00       999.999           99.999              9999.9
  2009    08    21    08     30      00       999.999           99.999              9999.9
  2009    08    21    08     35      00       999.999           99.999              9999.9
  2009    08    21    08     40      00       999.999           99.999              9999.9
  2009    08    21    08     45      00       999.999           99.999              9999.9
  2009    08    21    08     50      00       999.999           99.999              9999.9
  2009    08    21    08     55      00         3.723            0.041               282.7
  2009    08    21    09     00      00         3.519            0.135               263.0
  2009    08    21    09     05      00         3.128            0.142               269.2
  2009    08    21    09     10      00         3.295            0.028               269.9
  2009    08    21    09     15      00         3.435            0.036               285.6
  2009    08    21    09     20      00         3.510            0.032               272.0
  2009    08    21    09     25      00         3.806            0.083               287.9
  2009    08    21    09     30      00         3.518            0.053               279.6
  2009    08    21    09     35      00         3.481            0.292               284.2
  2009    08    21    09     40      00         3.295            0.035               279.6
  2009    08    21    09     45      00         3.414            0.196               297.7
  2009    08    21    09     50      00         3.526            0.298               302.7
  2009    08    21    09     55      00         3.458            0.060               285.1
  2009    08    21    10     00      00       999.999           99.999              9999.9
  2009    08    21    10     05      00       999.999           99.999              9999.9
  2009    08    21    10     10      00       999.999           99.999              9999.9
  2009    08    21    10     15      00       999.999           99.999              9999.9
  2009    08    21    10     20      00       999.999           99.999              9999.9
  2009    08    21    10     25      00       999.999           99.999              9999.9
  2009    08    21    10     30      00       999.999           99.999              9999.9
  2009    08    21    10     35      00         4.274            0.198               297.5
  2009    08    21    10     40      00         4.044            0.318               267.6
  2009    08    21    10     45      00         3.954            0.079               256.3
  2009    08    21    10     50      00         4.044            0.322               268.6
  2009    08    21    10     55      00         4.198            0.169               253.0
  2009    08    21    11     00      00       999.999           99.999              9999.9
  2009    08    21    11     05      00       999.999           99.999              9999.9
  2009    08    21    11     10      00       999.999           99.999              9999.9
  2009    08    21    11     15      00         4.729            0.228               236.7
  2009    08    21    11     20      00       999.999           99.999              9999.9
  2009    08    21    11     25      00       999.999           99.999              9999.9
  2009    08    21    11     30      00       999.999           99.999              9999.9
  2009    08    21    11     35      00       999.999           99.999              9999.9
  2009    08    21    11     40      00       999.999           99.999              9999.9
  2009    08    21    11     45      00       999.999           99.999              9999.9
  2009    08    21    11     50      00       999.999           99.999              9999.9
  2009    08    21    11     55      00         3.579            0.215               270.0
  2009    08    21    12     00      00       999.999           99.999              9999.9
  2009    08    21    12     05      00       999.999           99.999              9999.9
  2009    08    21    12     10      00       999.999           99.999              9999.9
  2009    08    21    12     15      00         3.984            0.217               275.7
  2009    08    21    12     20      00         4.115            0.285               264.8
  2009    08    21    12     25      00         3.672            0.099               243.8
  2009    08    21    12     30      00         3.845            0.163               245.5
  2009    08    21    12     35      00         3.673            0.171               243.2
  2009    08    21    12     40      00         3.593            0.108               241.0
  2009    08    21    12     45      00         3.756            0.184               268.0
  2009    08    21    12     50      00         3.848            0.179               280.5
  2009    08    21    12     55      00         3.855            0.165               281.0
  2009    08    21    13     00      00         3.514            0.101               247.9
  2009    08    21    13     05      00         3.774            0.236               277.5
  2009    08    21    13     10      00         3.837            0.301               278.4
  2009    08    21    13     15      00         3.758            0.222               282.4
