  Year  Month   Day  Hour  Minute  Second    foF2 (MHz)   foF2 POLAN Error (MHz)   hmF2 (km)
  2011    10    07    00     00      00         5.289            0.130               286.8
  2011    10    07    00     10      00         6.463            0.253               311.5
  2011    10    07    00     20      00         6.828            0.115               307.1
  2011    10    07    00     30      00         6.732            0.234               331.3
  2011    10    07    00     40      00         6.528            0.241               339.1
  2011    10    07    00     50      00         5.334            0.227               315.1
  2011    10    07    01     00      00         5.613            0.487               344.5
  2011    10    07    01     10      00         4.864            0.363               325.8
  2011    10    07    01     20      00         5.010            0.217               320.4
  2011    10    07    01     30      00         5.291            0.261               309.4
  2011    10    07    01     40      00         5.412            0.159               330.3
  2011    10    07    01     50      00         5.780            0.119               305.1
  2011    10    07    02     00      00         5.716            0.200               333.8
  2011    10    07    02     10      00         5.710            0.241               319.9
  2011    10    07    02     20      00         6.052            0.295               338.8
  2011    10    07    02     30      00         4.953            0.160               312.3
  2011    10    07    02     40      00         4.929            0.189               300.3
  2011    10    07    02     50      00         4.774            0.218               292.5
  2011    10    07    03     00      00         4.641            0.171               314.2
  2011    10    07    03     10      00         5.394            0.393               344.1
  2011    10    07    03     20      00         5.283            0.246               325.7
  2011    10    07    03     30      00         4.894            0.419               321.1
  2011    10    07    03     40      00         4.935            0.218               329.2
  2011    10    07    03     50      00         5.597            0.511               327.9
  2011    10    07    04     00      00         5.227            0.249               328.2
  2011    10    07    04     10      00         5.284            0.293               330.8
  2011    10    07    04     20      00         5.438            0.387               319.9
  2011    10    07    04     30      00         5.643            0.289               322.7
  2011    10    07    04     40      00         5.020            0.212               326.4
  2011    10    07    04     50      00         5.090            0.083               309.9
  2011    10    07    05     00      00         5.129            0.242               314.9
  2011    10    07    05     10      00         5.127            0.193               321.6
  2011    10    07    05     20      00         4.982            0.298               326.7
  2011    10    07    05     30      00         5.430            0.435               333.4
  2011    10    07    05     40      00         5.670            0.308               319.6
  2011    10    07    05     50      00         5.320            0.150               315.0
  2011    10    07    06     00      00         5.318            0.175               311.2
  2011    10    07    06     10      00         5.572            0.252               316.9
  2011    10    07    06     20      00         4.984            0.057               319.5
  2011    10    07    06     30      00         5.124            0.350               327.8
  2011    10    07    06     40      00         5.277            0.326               319.3
  2011    10    07    06     50      00         5.481            0.402               336.1
  2011    10    07    07     00      00         5.068            0.372               298.8
  2011    10    07    07     10      00         4.621            0.174               309.8
  2011    10    07    07     20      00         4.307            0.210               294.8
  2011    10    07    07     30      00       999.999           99.999              9999.9
  2011    10    07    07     40      00       999.999           99.999              9999.9
  2011    10    07    07     50      00       999.999           99.999              9999.9
  2011    10    07    08     00      00       999.999           99.999              9999.9
  2011    10    07    08     10      00       999.999           99.999              9999.9
  2011    10    07    08     20      00       999.999           99.999              9999.9
  2011    10    07    08     30      00       999.999           99.999              9999.9
  2011    10    07    08     40      00       999.999           99.999              9999.9
  2011    10    07    08     50      00       999.999           99.999              9999.9
  2011    10    07    09     00      00         6.030            0.180               292.6
  2011    10    07    09     10      00       999.999           99.999              9999.9
  2011    10    07    09     20      00       999.999           99.999              9999.9
  2011    10    07    09     30      00       999.999           99.999              9999.9
  2011    10    07    09     40      00       999.999           99.999              9999.9
  2011    10    07    09     50      00       999.999           99.999              9999.9
  2011    10    07    10     00      00       999.999           99.999              9999.9
  2011    10    07    10     10      00       999.999           99.999              9999.9
  2011    10    07    10     20      00       999.999           99.999              9999.9
  2011    10    07    10     30      00       999.999           99.999              9999.9
  2011    10    07    10     40      00       999.999           99.999              9999.9
  2011    10    07    10     50      00       999.999           99.999              9999.9
  2011    10    07    11     00      00       999.999           99.999              9999.9
  2011    10    07    11     10      00         4.486            0.236               324.6
  2011    10    07    11     20      00         4.164            0.123               305.6
  2011    10    07    11     30      00         4.657            0.209               318.5
  2011    10    07    11     40      00         4.298            0.540               288.5
  2011    10    07    11     50      00         4.246            0.218               284.7
  2011    10    07    12     00      00       999.999           99.999              9999.9
  2011    10    07    12     10      00         4.521            0.163               300.4
  2011    10    07    12     20      00         4.271            0.182               311.7
  2011    10    07    12     30      00         4.626            0.250               294.6
  2011    10    07    12     40      00         4.229            0.177               293.6
  2011    10    07    12     50      00       999.999           99.999              9999.9
  2011    10    07    13     00      00       999.999           99.999              9999.9
  2011    10    07    13     10      00       999.999           99.999              9999.9
  2011    10    07    13     20      00       999.999           99.999              9999.9
  2011    10    07    13     30      00       999.999           99.999              9999.9
  2011    10    07    13     40      00       999.999           99.999              9999.9
  2011    10    07    13     50      00         4.838            0.164               301.1
  2011    10    07    14     00      00         5.002            0.178               288.0
  2011    10    07    14     10      00         6.440            0.109               304.3
  2011    10    07    14     20      00         6.249            0.160               299.7
  2011    10    07    14     30      00         5.852            0.127               277.2
  2011    10    07    14     40      00         5.881            0.406               306.3
  2011    10    07    14     50      00         5.741            0.179               275.3
  2011    10    07    15     00      00         6.273            0.264               287.4
  2011    10    07    15     10      00         7.283            0.236               294.3
  2011    10    07    15     20      00         6.940            0.207               284.2
  2011    10    07    15     30      00         7.122            0.101               293.5
  2011    10    07    15     40      00         7.242            0.249               290.6
  2011    10    07    15     50      00         7.263            0.264               290.5
  2011    10    07    16     00      00         7.362            0.309               302.9
  2011    10    07    16     10      00         7.038            0.132               285.6
  2011    10    07    16     20      00         6.876            0.231               282.0
  2011    10    07    16     30      00         7.143            0.365               304.3
  2011    10    07    16     40      00         7.288            0.280               299.9
  2011    10    07    16     50      00         7.761            0.481               288.8
  2011    10    07    17     00      00         7.260            0.260               276.2
  2011    10    07    17     10      00         6.952            0.308               284.4
  2011    10    07    17     20      00         7.651            0.224               283.3
  2011    10    07    17     30      00         7.660            0.230               288.1
  2011    10    07    17     40      00         6.984            0.164               275.1
  2011    10    07    17     50      00       999.999           99.999              9999.9
  2011    10    07    18     00      00       999.999           99.999              9999.9
  2011    10    07    18     10      00       999.999           99.999              9999.9
  2011    10    07    18     20      00       999.999           99.999              9999.9
  2011    10    07    18     30      00       999.999           99.999              9999.9
  2011    10    07    18     40      00       999.999           99.999              9999.9
  2011    10    07    18     50      00         7.574            0.211               264.4
  2011    10    07    19     00      00         7.240            0.327               289.1
  2011    10    07    19     10      00         6.594            0.249               277.5
  2011    10    07    19     20      00         6.279            0.193               288.9
  2011    10    07    19     30      00         6.382            0.226               267.2
  2011    10    07    19     40      00         6.733            0.223               308.3
  2011    10    07    19     50      00         7.701            0.193               273.4
  2011    10    07    20     00      00         8.868            0.182               301.9
  2011    10    07    20     10      00         9.205            0.197               294.4
  2011    10    07    20     20      00         9.068            0.222               292.4
  2011    10    07    20     30      00         8.158            0.163               292.6
  2011    10    07    20     40      00         7.257            0.190               285.5
  2011    10    07    20     50      00       999.999           99.999              9999.9
  2011    10    07    21     00      00       999.999           99.999              9999.9
  2011    10    07    21     10      00       999.999           99.999              9999.9
  2011    10    07    21     20      00       999.999           99.999              9999.9
  2011    10    07    21     30      00         7.389            0.395               298.2
  2011    10    07    21     40      00         6.990            0.440               311.1
  2011    10    07    21     50      00       999.999           99.999              9999.9
  2011    10    07    22     00      00       999.999           99.999              9999.9
  2011    10    07    22     10      00       999.999           99.999              9999.9
  2011    10    07    22     20      00       999.999           99.999              9999.9
  2011    10    07    22     30      00       999.999           99.999              9999.9
  2011    10    07    22     40      00       999.999           99.999              9999.9
  2011    10    07    22     50      00       999.999           99.999              9999.9
  2011    10    07    23     00      00       999.999           99.999              9999.9
  2011    10    07    23     10      00       999.999           99.999              9999.9
  2011    10    07    23     20      00         6.835            0.190               283.9
  2011    10    07    23     30      00         6.901            0.244               303.2
  2011    10    07    23     40      00         6.977            0.239               306.1
  2011    10    07    23     50      00         6.640            0.148               281.5
  2011    10    08    00     00      00         6.067            0.254               317.0
  2011    10    08    00     10      00         6.258            0.123               311.0
  2011    10    08    00     20      00         6.422            0.196               310.9
  2011    10    08    00     30      00         6.437            0.277               311.2
  2011    10    08    00     40      00         6.352            0.297               313.2
  2011    10    08    00     50      00         6.032            0.185               296.4
  2011    10    08    01     00      00         6.022            0.174               287.5
  2011    10    08    01     10      00         6.129            0.258               285.4
  2011    10    08    01     20      00         5.956            0.071               290.0
  2011    10    08    01     30      00         6.632            0.441               306.4
  2011    10    08    01     40      00         6.485            0.249               287.2
  2011    10    08    01     50      00         6.428            0.281               301.9
  2011    10    08    02     00      00         5.672            0.233               263.8
  2011    10    08    02     10      00         5.885            0.101               298.9
  2011    10    08    02     20      00         6.234            0.202               284.8
  2011    10    08    02     30      00         6.150            0.222               292.6
  2011    10    08    02     40      00         5.931            0.166               282.4
  2011    10    08    02     50      00       999.999           99.999              9999.9
  2011    10    08    03     00      00       999.999           99.999              9999.9
  2011    10    08    03     10      00       999.999           99.999              9999.9
  2011    10    08    03     20      00         5.650            0.153               306.3
  2011    10    08    03     30      00         5.768            0.496               316.3
  2011    10    08    03     40      00         5.709            0.275               307.5
  2011    10    08    03     50      00         5.635            0.198               308.0
  2011    10    08    04     00      00         5.732            0.185               310.4
  2011    10    08    04     10      00         5.501            0.274               319.1
  2011    10    08    04     20      00         5.605            0.508               307.3
  2011    10    08    04     30      00         5.719            0.225               316.1
  2011    10    08    04     40      00         4.789            0.284               312.8
  2011    10    08    04     50      00         5.111            0.325               322.9
  2011    10    08    05     00      00         4.406            0.188               304.9
  2011    10    08    05     10      00         4.389            0.147               304.8
  2011    10    08    05     20      00         4.445            0.137               294.6
  2011    10    08    05     30      00         5.287            0.144               305.9
  2011    10    08    05     40      00         5.208            0.147               303.7
  2011    10    08    05     50      00         4.733            0.334               298.8
  2011    10    08    06     00      00         4.958            0.204               285.4
  2011    10    08    06     10      00         5.059            0.237               292.0
  2011    10    08    06     20      00         4.476            0.217               286.3
  2011    10    08    06     30      00         4.995            0.269               321.0
  2011    10    08    06     40      00         4.972            0.151               328.0
  2011    10    08    06     50      00         4.733            0.322               321.8
  2011    10    08    07     00      00       999.999           99.999              9999.9
  2011    10    08    07     10      00         4.271            0.313               330.7
  2011    10    08    07     20      00       999.999           99.999              9999.9
  2011    10    08    07     30      00         4.299            0.347               348.1
  2011    10    08    07     40      00         3.702            0.117               285.8
  2011    10    08    07     50      00         4.065            0.124               306.9
  2011    10    08    08     00      00         4.082            0.139               306.9
  2011    10    08    08     10      00         4.015            0.192               321.5
  2011    10    08    08     20      00         3.687            0.142               319.9
  2011    10    08    08     30      00         3.570            0.235               317.6
  2011    10    08    08     40      00         3.480            0.084               301.5
  2011    10    08    08     50      00         3.520            0.085               303.5
  2011    10    08    09     00      00         3.604            0.168               315.4
  2011    10    08    09     10      00         3.586            0.103               305.7
  2011    10    08    09     20      00         3.535            0.168               292.5
  2011    10    08    09     30      00         4.649            0.211               330.2
  2011    10    08    09     40      00         4.740            0.201               323.9
  2011    10    08    09     50      00         5.592            0.136               313.9
  2011    10    08    10     00      00         5.317            0.204               285.8
  2011    10    08    10     10      00         5.020            0.136               275.1
  2011    10    08    10     20      00       999.999           99.999              9999.9
  2011    10    08    10     30      00         5.072            0.193               312.1
  2011    10    08    10     40      00         5.314            0.189               315.4
  2011    10    08    10     50      00         5.236            0.163               297.6
  2011    10    08    11     00      00         4.888            0.167               292.9
  2011    10    08    11     10      00       999.999           99.999              9999.9
  2011    10    08    11     20      00       999.999           99.999              9999.9
  2011    10    08    11     30      00       999.999           99.999              9999.9
  2011    10    08    11     40      00       999.999           99.999              9999.9
  2011    10    08    11     50      00       999.999           99.999              9999.9
  2011    10    08    12     00      00       999.999           99.999              9999.9
  2011    10    08    12     10      00       999.999           99.999              9999.9
  2011    10    08    12     20      00       999.999           99.999              9999.9
  2011    10    08    12     30      00       999.999           99.999              9999.9
  2011    10    08    12     40      00       999.999           99.999              9999.9
  2011    10    08    12     50      00       999.999           99.999              9999.9
  2011    10    08    13     00      00       999.999           99.999              9999.9
  2011    10    08    13     10      00       999.999           99.999              9999.9
  2011    10    08    13     20      00       999.999           99.999              9999.9
  2011    10    08    13     30      00       999.999           99.999              9999.9
  2011    10    08    13     40      00       999.999           99.999              9999.9
  2011    10    08    13     50      00       999.999           99.999              9999.9
  2011    10    08    14     00      00       999.999           99.999              9999.9
  2011    10    08    14     10      00         6.631            0.244               301.0
  2011    10    08    14     20      00         6.394            0.160               295.7
  2011    10    08    14     30      00         6.695            0.188               300.4
  2011    10    08    14     40      00         6.851            0.331               310.7
  2011    10    08    14     50      00         7.376            0.360               314.9
  2011    10    08    15     00      00         7.233            0.319               306.6
  2011    10    08    15     10      00         7.071            0.301               314.9
  2011    10    08    15     20      00         7.213            0.172               300.4
  2011    10    08    15     30      00         7.573            0.306               305.7
  2011    10    08    15     40      00         7.615            0.164               280.7
  2011    10    08    15     50      00         7.579            0.209               280.2
  2011    10    08    16     00      00         7.484            0.195               270.7
  2011    10    08    16     10      00         7.906            0.268               278.6
  2011    10    08    16     20      00         6.966            0.199               279.1
  2011    10    08    16     30      00         6.620            0.289               281.2
  2011    10    08    16     40      00         6.095            0.016               272.2
  2011    10    08    16     50      00         5.818            0.203               280.5
  2011    10    08    17     00      00         6.352            0.182               288.0
  2011    10    08    17     10      00         6.412            0.248               294.9
  2011    10    08    17     20      00         6.302            0.239               290.5
  2011    10    08    17     30      00         6.019            0.126               273.4
  2011    10    08    17     40      00         6.302            0.266               281.3
  2011    10    08    17     50      00         6.472            0.285               269.2
  2011    10    08    18     00      00         6.852            0.193               291.7
  2011    10    08    18     10      00         7.300            0.191               273.0
  2011    10    08    18     20      00         6.967            0.118               273.9
  2011    10    08    18     30      00         6.313            0.085               267.3
  2011    10    08    18     40      00         9.240            0.279               281.2
  2011    10    08    18     50      00         6.118            0.185               284.4
  2011    10    08    19     00      00         5.699            0.244               280.0
  2011    10    08    19     10      00         5.811            0.230               282.4
  2011    10    08    19     20      00         6.180            0.162               275.1
  2011    10    08    19     30      00         7.445            0.273               261.7
  2011    10    08    19     40      00         7.092            0.229               275.1
  2011    10    08    19     50      00         7.059            0.180               280.7
  2011    10    08    20     00      00         7.035            0.279               270.4
  2011    10    08    20     10      00         6.131            0.419               236.8
  2011    10    08    20     20      00       999.999           99.999              9999.9
  2011    10    08    20     30      00       999.999           99.999              9999.9
  2011    10    08    20     40      00       999.999           99.999              9999.9
  2011    10    08    20     50      00       999.999           99.999              9999.9
  2011    10    08    21     00      00       999.999           99.999              9999.9
  2011    10    08    21     10      00       999.999           99.999              9999.9
  2011    10    08    21     20      00       999.999           99.999              9999.9
  2011    10    08    21     30      00       999.999           99.999              9999.9
  2011    10    08    21     40      00         6.681            0.277               301.8
  2011    10    08    21     50      00         6.171            0.327               287.9
  2011    10    08    22     00      00         6.161            0.222               288.3
  2011    10    08    22     10      00         6.214            0.218               296.9
  2011    10    08    22     20      00         6.044            0.219               315.9
  2011    10    08    22     30      00         6.438            0.203               273.3
  2011    10    08    22     40      00       999.999           99.999              9999.9
  2011    10    08    22     50      00       999.999           99.999              9999.9
  2011    10    08    23     00      00       999.999           99.999              9999.9
  2011    10    08    23     10      00       999.999           99.999              9999.9
  2011    10    08    23     20      00       999.999           99.999              9999.9
  2011    10    08    23     30      00         6.291            0.281               290.0
  2011    10    08    23     40      00         5.649            0.304               303.5
  2011    10    08    23     50      00         5.689            0.227               310.2
  2011    10    09    00     00      00         6.643            0.536               320.0
  2011    10    09    00     10      00         5.919            0.299               322.2
  2011    10    09    00     20      00         5.971            0.265               321.2
  2011    10    09    00     30      00         5.867            0.401               326.8
  2011    10    09    00     40      00         6.281            0.618               353.9
  2011    10    09    00     50      00         6.054            0.260               307.8
  2011    10    09    01     00      00         6.830            0.212               282.6
  2011    10    09    01     10      00         5.331            0.193               288.9
  2011    10    09    01     20      00       999.999           99.999              9999.9
  2011    10    09    01     30      00         6.190            0.269               329.5
  2011    10    09    01     40      00         5.918            0.205               312.9
  2011    10    09    01     50      00         7.180            0.226               303.8
  2011    10    09    02     00      00         7.561            0.137               306.7
  2011    10    09    02     10      00         6.996            0.498               291.6
  2011    10    09    02     20      00         6.330            0.042               271.5
  2011    10    09    02     30      00         5.315            0.459               293.4
  2011    10    09    02     40      00         5.926            0.417               290.8
  2011    10    09    02     50      00         4.741            0.180               288.9
  2011    10    09    03     00      00         4.913            0.166               289.4
  2011    10    09    03     10      00         6.075            0.290               322.1
  2011    10    09    03     20      00         7.137            0.276               315.3
  2011    10    09    03     30      00         5.508            0.182               319.0
  2011    10    09    03     40      00         5.444            0.219               302.5
  2011    10    09    03     50      00         5.194            0.269               322.4
  2011    10    09    04     00      00         6.014            0.226               332.3
  2011    10    09    04     10      00         5.946            0.225               325.1
  2011    10    09    04     20      00         6.256            0.224               313.3
